locus_tag,gene,srm_ response,concentration,peptides_per_protein
Rv2153c,murG,1953159,3,3
Rv0245,,1952242,3,4
Rv1377c,,1952170,3,4
Rv0818,,1951880,3,4
Rv0145,,1950747,3,2
Rv3679,,1944484,3,3
Rv1276c,,1943824,3,4
Rv3079c,,1939769,3,3
Rv2230c,,1936062,3,3
Rv0185,,1931470,3,2
Rv0468,fadB2,1930031,3,3
Rv3212,,1929216,3,3
Rv3799c,accD4,1927593,3,5
Rv3411c,guaB2,1924773,3,3
Rv1521,fadD25,1922643,3,3
Rv3342,,1922059,3,3
Rv0548c,menB,1917153,3,2
Rv1265,,1911389,3,2
Rv3802c,,1910849,3,3
Rv0187,,1909921,3,3
Rv2155c,murD,1905109,3,4
Rv2030c,,1904969,3,4
Rv2607,pdxH,1904225,3,4
Rv0562,grcC1,1898820,3,3
Rv0927c,,3015180,3,5
Rv3438,,1895750,3,3
Rv2732c,,1892938,3,3
Rv3147,nuoC,1891508,3,3
Rv3633,,1889593,3,2
Rv2005c,,1885414,3,3
Rv2484c,,1881233,3,2
Rv3818,,1879331,3,3
Rv3608c,folP1,1878832,3,2
Rv3781,rfbE,1877417,3,3
Rv3674c,nth,1875057,3,5
Rv1608c,bcpB,1873749,3,2
Rv3033,,1868031,3,2
Rv1260,,1867717,3,6
Rv2987c,leuD,1864059,3,3
Rv1084,,1860473,3,6
Rv1238,sugC,1859501,3,3
Rv1121,zwf1,1856277,3,3
Rv2157c,murF,1855171,3,3
Rv3302c,glpD2,1846026,3,3
Rv0864,moaC2,1843526,3,3
Rv2992c,gltS,1840991,3,3
Rv1836c,,1837260,3,2
Rv2933,ppsC,1830985,3,2
Rv0480c,,1827583,3,3
Rv2251,,1824848,3,3
Rv3754,tyrA,1824201,3,4
Rv2888c,amiC,1813312,3,3
Rv3772,hisC2,1797166,3,5
Rv2537c,aroD,1795244,3,3
Rv2931,ppsA,1792631,3,3
Rv0332,,1792237,3,4
Rv1623c,cydA,1787146,3,3
